features,scaled,rand,sse,sil,fm,clusters
phi,1,0.5560902255639097,13.528761259850063,0.07939092883952947,0.4671467980866664,6
phi,0,0.5560902255639097,17.37744098568753,0.07939092883952947,0.4671467980866664,6
rho,1,0.5343107769423558,5.234717081028457,0.03732033085746231,0.41715589892979393,6
rho,0,0.5343107769423558,215.75193014738136,0.03732033085746231,0.41715589892979393,6
all,1,0.5995363408521304,4780.1472863407,0.443197907066329,0.4641059365989151,6
all,0,0.49890977443609025,4021071.0324979518,-0.00013230402388865275,0.32955343390401376,6
MinTemp,1,0.5043859649122807,12.751288228055138,0.011111324970883962,0.29089755347463564,7
MinTemp,0,0.5043859649122807,493.1248530125082,0.011111324970883962,0.29089755347463564,7
MaxTemp,1,0.5072055137844611,16.330542570987564,0.006372787231051834,0.3149526996694284,7
MaxTemp,0,0.5072055137844611,832.7935322738791,0.006372787231051834,0.3149526996694284,7
Rainfall,1,0.5534085213032581,3.2442317319484695,0.20887312616212497,0.5857023948266622,7
Rainfall,0,0.5534085213032581,672.1640970387401,0.20887312616212497,0.5857023948266622,7
WindGustDir,1,0.5022932330827068,6.835803605151521,0.003442556766428526,0.27529723874203704,7
WindGustDir,0,0.5022932330827068,71767.6479187344,0.003442556766428526,0.27529723874203704,7
WindGustSpeed,1,0.5017293233082707,15.84681872809034,-0.0009300494317079455,0.32472419910998235,7
WindGustSpeed,0,0.5017293233082707,3004.5113183762633,-0.0009300494317079455,0.32472419910998235,7
WindDir9am,1,0.5009398496240601,6.691587390101868,0.004257439431410826,0.2805232903275441,7
WindDir9am,0,0.49933583959899747,67345.09781933889,0.0007959818686079301,0.2767429142390113,7
WindDir3pm,1,0.5010651629072682,7.235210050991632,0.0019741718313642416,0.2756582944366314,7
WindDir3pm,0,0.5010651629072682,81502.79473914616,0.0019741718313642416,0.2756582944366314,7
WindSpeed9am,1,0.498859649122807,13.848291494839424,-0.00460334519601151,0.31279646802695743,7
WindSpeed9am,0,0.498859649122807,1115.4860707715577,-0.00460334519601151,0.31279646802695743,7
WindSpeed3pm,1,0.49898496240601503,15.280941232912998,-0.003064680684059351,0.30449266115042295,7
WindSpeed3pm,0,0.49898496240601503,1333.0140301941046,-0.003064680684059351,0.30449266115042295,7
Humidity9am,1,0.5183458646616541,12.390520239606754,0.01854121855948553,0.3244835583418931,7
Humidity9am,0,0.5193233082706767,3643.115640262903,0.04360476393834217,0.3259227319859557,7
Humidity3pm,1,0.5319172932330827,10.505871070077804,0.06928400210717925,0.3321610323436275,7
